system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B,7,70,120,1.8881491099018604,0.0000785083239898,64,1.2266925623407588e-6,815200.1819362246
A2B,7,70,120,1.8955707210116088,0.000079442164977,128,6.206419138834463e-7,1611235.0417052165
A2B,7,70,120,1.8805855819955468,0.0000800409839721,256,3.1266009364117055e-7,3198361.480527369
A2B,7,70,120,1.8817631740821523,0.0000825962990056,512,1.613208964954538e-7,6198824.961453033
A2B,7,70,120,1.8836125730304047,0.000158648221055,1024,1.5492990337406808e-7,6454531.876816354
A2B,7,70,120,1.8969585050363091,0.0002125329279806,2048,1.0377584374055006e-7,9636153.886641478
A2B,7,70,120,1.9050596239976585,0.0003068229290656,4096,7.490794166642446e-8,13349719.372254811
A2B,7,70,120,1.8919923880603164,0.0005206711300415,8192,6.355848755390527e-8,15733539.901368476
A2B,7,70,120,1.9326104039791967,0.0009759393580025,16384,5.9566611206207655e-8,16787928.33351222
A2B,8,95,165,1.9134828120004383,0.0000427202529972,1,0.0000427202529972,23408.101072448277
A2B,8,95,165,1.8713087199721483,0.0000911380419274,2,0.0000455690209637,21944.733041241438
A2B,8,95,165,1.874516710988246,0.0000906875870423,4,0.0000226718967605,44107.46972606656
A2B,8,95,165,1.858145455014892,0.0000907405429752,8,0.0000113425678719,88163.45745453233
A2B,8,95,165,1.869366841041483,0.0000913089599926,16,5.706809999537654e-6,175229.24367221206
A2B,8,95,165,1.9018709079828116,0.0000911935130134,32,2.849797281669453e-6,350902.1523854445
A2B,8,95,165,1.8891534690046683,0.0000903376329224,64,1.4115255144133698e-6,708453.3646673756
A2B,8,95,165,1.88281235890463,0.0000911050930153,128,7.117585391824833e-7,1404970.8502950836
A2B,8,95,165,1.87444313603919,0.0000928923669271,256,3.628608083090512e-7,2755877.67292932
A2B,8,95,165,1.8882925240322948,0.0000959412290249,512,1.873852129392617e-7,5336600.387588407
A2B,8,95,165,1.88580915692728,0.0001765101759228,1024,1.723732186746929e-7,5801365.245068756
A2B,8,95,165,1.8992577409371731,0.0002392226229421,2048,1.1680792135848605e-7,8561063.225592194
A2B,8,95,165,1.8994812419405207,0.0004143926589749,4096,1.0117008275756234e-7,9884344.983648352
A2B,8,95,165,1.8958818500395864,0.0006793089320417,8192,8.29234536183776e-8,12059314.420285778
A2B,8,95,165,1.9351275799563157,0.0012752282139845,16384,7.783375329495357e-8,12847896.415973503
A2B2,3,33,84,1.9320483459159727,0.0000412992510246,1,0.0000412992510246,24213.51417254696
A2B2,3,33,84,1.8577961709816009,0.0000719779180362,2,0.0000359889590181,27786.299667515468
A2B2,3,33,84,1.8627731209853664,0.0000718241860158,4,0.0000179560465039,55691.54656505183
A2B2,3,33,84,1.8676306110573933,0.0000733001120388,8,9.162514004856347e-6,109140.35159673168
A2B2,3,33,84,1.8738964450312776,0.000072423618054,16,4.526476128376089e-6,220922.40666665317
A2B2,3,33,84,1.8751656520180404,0.0000724649829789,32,2.264530718093738e-6,441592.596651456
A2B2,3,33,84,1.8739276940468697,0.0000714563309447,64,1.1165051710122498e-6,895651.9199041205
A2B2,3,33,84,1.876982451067306,0.0000718852400314,128,5.616034377453616e-7,1780615.880868972
A2B2,3,33,84,1.8771931200753895,0.0000722778548952,256,2.8233537068445e-7,3541887.074140783
A2B2,3,33,84,1.8786790469894183,0.0000781116280704,512,1.525617735751439e-7,6554721.910777032
A2B2,3,33,84,1.8852689900668336,0.0000790976830758,1024,7.724383112872601e-8,12946017.635162486
A2B2,3,33,84,1.9036451919237152,0.0001601766889216,2048,7.821127388751847e-8,12785880.478537856
A2B2,3,33,84,1.92385792802088,0.0002564915820257,4096,6.262001514301119e-8,15969335.0076043
A2B2,3,33,84,1.9335946820210663,0.0004431706110481,8192,5.4097974981459634e-8,18484980.26668685
A2B2,3,33,84,1.94982767093461,0.000790429324028,16384,4.824397729663588e-8,20727975.92643199
A2B2,4,75,210,1.9325876609655095,0.0000423228959552,1,0.0000423228959552,23627.87274897963
A2B2,4,75,210,1.8677346400218084,0.0001022153260419,2,0.0000511076630209,19566.537401444846
A2B2,4,75,210,1.879075212054886,0.000101989621995,4,0.0000254974054987,39219.676686275336
A2B2,4,75,210,1.8707361429696905,0.0001018827389925,8,0.000012735342374,78521.64242054065
A2B2,4,75,210,1.8825749839888888,0.0001016763600055,16,6.354772500344552e-6,157362.04560364364
A2B2,4,75,210,1.8879650779999797,0.0001011405619792,32,3.1606425618520008e-6,316391.3604371773
A2B2,4,75,210,1.872410649084486,0.0001011589419795,64,1.5806084684300005e-6,632667.7478789471
A2B2,4,75,210,1.8833322250284252,0.0001023724639089,128,7.997848742888891e-7,1250336.2243367352
A2B2,4,75,210,1.882427352014929,0.0001038488149642,256,4.0565943345427526e-7,2465122.0149986167
A2B2,4,75,210,1.8833621210651472,0.0001474430810194,512,2.87974767616106e-7,3472526.4587523937
A2B2,4,75,210,1.905707886093296,0.0001952960320049,1024,1.9071878125487277e-7,5243322.096650881
A2B2,4,75,210,1.9238833099370825,0.0002841315210098,2048,1.3873609424308596e-7,7207929.597959227
A2B2,4,75,210,1.932265626033768,0.000477827068069,4096,1.166569990402877e-7,8572138.904881723
A2B2,4,75,210,1.9370527389692145,0.0008449662600178,8192,1.0314529541233242e-7,9695061.670068536
A2B2,4,75,210,1.9515051019843668,0.0015646158669842,16384,9.549657391261237e-8,10471579.859138053
A2B2,5,153,462,1.9346862750826403,0.0000426803580485,1,0.0000426803580485,23429.981511939983
A2B2,5,153,462,1.8801922289421784,0.0000820086919702,2,0.0000410043459851,24387.65881944946
A2B2,5,153,462,1.8748619389953087,0.0000817071329802,4,0.000020426783245,48955.33418077429
A2B2,5,153,462,1.9014180779922756,0.0000821206358959,8,0.0000102650794869,97417.65772652354
A2B2,5,153,462,1.8871849520364776,0.0000822014069417,16,5.1375879338593225e-6,194643.87040647815
A2B2,5,153,462,1.8935595739167184,0.0000824868000345,32,2.5777125010790767e-6,387940.85825373547
A2B2,5,153,462,1.892034668009728,0.0000825324539327,64,1.2895695926999907e-6,775452.5274640552
A2B2,5,153,462,1.8790550590492785,0.0001593993320129,128,1.2453072813514151e-6,803014.6574866194
A2B2,5,153,462,1.88613194890786,0.0002049261260544,256,8.004926799003443e-7,1249230.6614527605
A2B2,5,153,462,1.887999780010432,0.000248712654924,512,4.857669041484769e-7,2058600.5169556492
A2B2,5,153,462,1.9075309839099648,0.0003393563270801,1024,3.314026631642264e-7,3017477.2599954954
A2B2,5,153,462,1.913151112035848,0.0004421616629697,2048,2.158992494969425e-7,4631790.070276097
A2B2,5,153,462,1.915032918099314,0.0009421779459808,4096,2.300239125929693e-7,4347374.1000550445
A2B2,5,153,462,1.9217692649690437,0.0016655188149306,8192,2.033104022132193e-7,4918587.485510271
A2B2,5,153,462,1.9847164339153096,0.0031561412460869,16384,1.9263557410198475e-7,5191149.166823061
A2B2,6,291,924,1.934721130062826,0.0000436182369012,1,0.0000436182369012,22926.19030577104
A2B2,6,291,924,1.8712703039636835,0.0001073843449121,2,0.000053692172456,18624.68874430882
A2B2,6,291,924,1.8804171099327505,0.0001077108819736,4,0.0000269277204934,37136.45201586762
A2B2,6,291,924,1.89062035898678,0.0001073757619597,8,0.0000134219702449,74504.7099456431
A2B2,6,291,924,1.905495494953357,0.0001082624780246,16,6.7664048765436745e-6,147788.9689200518
A2B2,6,291,924,1.8962870980612931,0.0001098890010034,32,3.4340312813583296e-6,291202.93849054584
A2B2,6,291,924,1.8886933099711316,0.0001102914980147,64,1.7233046564797404e-6,580280.4491010532
A2B2,6,291,924,1.8951858850196004,0.0003045040400465,128,2.378937812864024e-6,420355.6707504226
A2B2,6,291,924,1.9139915939886123,0.0003458195700077,256,1.350857695342711e-6,740270.4248179903
A2B2,6,291,924,1.908542506978847,0.0002728017660556,512,5.328159493274143e-7,1876820.694392356
A2B2,6,291,924,1.9159353809664024,0.0004541260019177,1024,4.434824237478097e-7,2254880.79448366
A2B2,6,291,924,1.9328453548951077,0.0007771636990364,2048,3.794744624201485e-7,2635223.444609073
A2B2,6,291,924,1.95009781094268,0.001816542114946,4096,4.434917272817529e-7,2254833.491774908
A2B2,6,291,924,1.955947773065418,0.0030740190480137,8192,3.752464658219879e-7,2664915.1719776285
A2B2,6,291,924,1.9975250189891085,0.0051562515429686,16384,3.147126185893967e-7,3177502.079459651
A2B2,7,519,1716,1.952253781957552,0.0000439926290418,1,0.0000439926290418,22731.080678258066
A2B2,7,519,1716,1.879417432937771,0.0001512986620655,2,0.0000756493310327,13218.887547953254
A2B2,7,519,1716,1.9040547560434788,0.000151462572976,4,0.000037865643244,26409.16446489662
A2B2,7,519,1716,1.905773859936744,0.00015355304908,8,0.000019194131135,52099.258516372494
A2B2,7,519,1716,1.9043949450133368,0.0001551070599816,16,9.694191248854622e-6,103154.55661328643
A2B2,7,519,1716,1.9112781540025023,0.000155447483994,32,4.857733874814585e-6,205857.3042019864
A2B2,7,519,1716,1.9027284459443763,0.0001957591710379,64,3.05873704746773e-6,326932.32026201166
A2B2,7,519,1716,1.9157796010840684,0.0002054397560423,128,1.6049980940806563e-6,623053.6993707775
A2B2,7,519,1716,1.906782167963684,0.0002815804820274,256,1.099923757919896e-6,909153.9234420526
A2B2,7,519,1716,1.9154975858982648,0.0004187249680981,512,8.178222033166094e-7,1222759.6608952214
A2B2,7,519,1716,1.913031519041397,0.0007606366990366,1024,7.428092764030225e-7,1346240.5919893691
A2B2,7,519,1716,1.9292699140496552,0.0014045868399553,2048,6.858334179469239e-7,1458080.0145224028
A2B2,7,519,1716,1.9505271980306131,0.0031723820199258,4096,7.745073290834626e-7,1291143.3661749607
A2B2,7,519,1716,1.958804633002728,0.0045505951209925,8192,5.554925684805312e-7,1800204.101263414
A2B2,7,519,1716,1.968981969053857,0.0077248055980307,16384,4.714847166766845e-7,2120959.523457341
A2B2,8,882,3003,1.994986217003316,0.0000444598050089,1,0.0000444598050089,22492.22640087097
A2B2,8,882,3003,1.8951762010110544,0.0001971690589562,2,0.0000985845294781,10143.579375931542
A2B2,8,882,3003,1.8971631440799683,0.0001973087670048,4,0.0000493271917512,20272.79406140769
A2B2,8,882,3003,1.9191118460148573,0.0001986796649871,8,0.0000248349581233,40265.82187219735
A2B2,8,882,3003,1.9087332390481608,0.0002003795579075,16,0.0000125237223692,79848.46441960655
