system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B,5,34,56,1.9567269468680024,0.0001973060690797,4096,4.8170427021432264e-8,20759624.978102736
A2B,5,34,56,1.9642329621128736,0.0003053398909978,8192,3.727293591282432e-8,26829118.11237104
A2B,5,34,56,1.9857657407410445,0.0005677721537649,16384,3.465406211944355e-8,28856645.91219522
A2B,6,50,84,1.9485650276765227,0.0000417648437432,1,0.0000417648437432,23943.582936559036
A2B,6,50,84,1.918349236715585,0.0000717352139763,2,0.0000358676069881,27880.30995013515
A2B,6,50,84,1.9195165960118172,0.0000708240689709,4,0.0000177060172427,56477.975046012805
A2B,6,50,84,1.924303745850921,0.0000712205716408,8,8.902571455109865e-6,112327.0961701772
A2B,6,50,84,1.9238173882476983,0.0000723318727687,16,4.5207420480437575e-6,221202.62323587472
A2B,6,50,84,1.94974519405514,0.0000727513572201,32,2.27347991312854e-6,439854.3370563139
A2B,6,50,84,1.9346387200057509,0.0000713623999617,64,1.1150374994031154e-6,896830.8245555011
A2B,6,50,84,1.934040771331638,0.0000714948810636,128,5.58553758310154e-7,1790337.9667973148
A2B,6,50,84,1.9264861661940813,0.0000723583819344,256,2.826499294315e-7,3537945.3375818003
A2B,6,50,84,1.9428398017771544,0.0000741017060354,512,1.4472989460045937e-7,6909422.567884783
A2B,6,50,84,1.9326019110158088,0.0000776961562223,1024,7.587515256091139e-8,13179545.163974673
A2B,6,50,84,1.947739609051496,0.0001610770137049,2048,7.86508855981083e-8,12714415.00493482
A2B,6,50,84,1.9583570091053843,0.0002547105234116,4096,6.218518637979288e-8,16081000.28666877
A2B,6,50,84,1.9413703358732164,0.0004119229130446,8192,5.0283558721275766e-8,19887216.12849737
A2B,6,50,84,2.0090458136983216,0.0007536897170357,16384,4.6001569643294725e-8,21738388.6626956
A2B,7,70,120,1.946410906035453,0.0000416625472716,1,0.0000416625472716,24002.373006109927
A2B,7,70,120,1.9188890419900415,0.0000803259480744,2,0.0000401629740372,24898.554551090427
A2B,7,70,120,1.9151611933484676,0.0000789895001798,4,0.0000197473750449,50639.64186240698
A2B,7,70,120,1.922709824051708,0.0000791030959226,8,9.887886990327389e-6,101133.84193996436
A2B,7,70,120,1.921690960880369,0.0000797351449728,16,4.983446560800076e-6,200664.33698035948
A2B,7,70,120,1.939148956909776,0.0000805639722384,32,2.517624132451601e-6,397199.878691274
A2B,7,70,120,1.941790939308703,0.0000787745118141,64,1.2308517470955848e-6,812445.5299833462
A2B,7,70,120,1.9528701179660857,0.0000787896728143,128,6.155443188617938e-7,1624578.392420395
A2B,7,70,120,1.94524556491524,0.0000803778339177,256,3.139759137411602e-7,3184957.686991219
A2B,7,70,120,1.9334745886735616,0.0000828623883426,512,1.6184060223167766e-7,6178919.172387178
A2B,7,70,120,1.9407839910127225,0.0001586313759908,1024,1.5491345311602348e-7,6455217.283492114
A2B,7,70,120,1.944750345312059,0.0002124595730565,2048,1.0374002590651799e-7,9639480.91647016
A2B,7,70,120,1.9434298970736563,0.0003051408417522,4096,7.449727581843035e-8,13423309.631311426
A2B,7,70,120,1.962337797973305,0.000519589069765,8192,6.342640011780531e-8,15766305.483878093
A2B,7,70,120,1.987162764184177,0.0009776997081935,16384,5.967405445517215e-8,16757701.636499522
A2B,8,95,165,1.9469698797911408,0.0000421421811915,1,0.0000421421811915,23729.1941642423
A2B,8,95,165,1.9232835401780903,0.0000906637110747,2,0.0000453318555373,22059.542636097
A2B,8,95,165,1.929913671221584,0.0000903712459839,4,0.0000225928114959,44261.86622135009
A2B,8,95,165,1.929859791882336,0.000090569187887,8,0.0000113211484858,88330.26094901253
A2B,8,95,165,1.928527174051851,0.0000908910958096,16,5.680693488102406e-6,176034.8454100527
A2B,8,95,165,1.938927070237696,0.0000911394231952,32,2.8481069748522714e-6,351110.4073090053
A2B,8,95,165,1.9415624919347465,0.0000901672937907,64,1.4088639654801226e-6,709791.7361093219
A2B,8,95,165,1.9481879170052707,0.0000906172101385,128,7.079469542077277e-7,1412535.2105216873
A2B,8,95,165,1.937868679407984,0.0000922382706776,256,3.603057448344771e-7,2775420.637435009
A2B,8,95,165,1.93759401794523,0.0000951736457645,512,1.858860268839635e-7,5379640.507482763
A2B,8,95,165,1.9511496280319989,0.0001768108308315,1024,1.726668269839138e-7,5791500.414223534
A2B,8,95,165,1.9482873268425465,0.0002360788942314,2048,1.152728975739592e-7,8675066.048013577
A2B,8,95,165,1.94581582210958,0.0004129082215949,4096,1.0080767128783918e-7,9919879.977632554
A2B,8,95,165,1.947215620893985,0.0006808249619789,8192,8.31085158665701e-8,12032461.289592637
A2B,8,95,165,2.0440151318907738,0.001283276178874,16384,7.832496208948215e-8,12767321.85146228
A2B2,3,33,84,1.988891826942563,0.0000406872732564,1,0.0000406872732564,24577.70993146412
A2B2,3,33,84,1.9168805116787555,0.0000721093649044,2,0.0000360546824522,27735.64852013012
A2B2,3,33,84,1.9167249561287465,0.0000723624150268,4,0.0000180906037567,55277.3148673177
A2B2,3,33,84,1.924040790181607,0.0000725279822945,8,9.065997786819934e-6,110302.25503185
A2B2,3,33,84,1.9202814931049943,0.0000718825818039,16,4.49266136274673e-6,222585.2160352051
A2B2,3,33,84,1.9258511890657248,0.0000729519142769,32,2.279747321153991e-6,438645.10365728056
A2B2,3,33,84,1.9444842408411205,0.0000720716291107,64,1.1261192048550585e-6,888005.4577603168
A2B2,3,33,84,1.929428858216852,0.000071426779963,128,5.580217184615322e-7,1792044.945413601
A2B2,3,33,84,1.9290869128890336,0.0000725892749615,256,2.835518553183647e-7,3526691.7893280084
A2B2,3,33,84,1.936867390293628,0.0000777479577809,512,1.518514800409321e-7,6585381.978038322
A2B2,3,33,84,1.948006329126656,0.0000794851453974,1024,7.762221230223077e-8,12882910.320906447
A2B2,3,33,84,1.9522374030202627,0.0001597050279378,2048,7.798097067279742e-8,12823641.3495791
A2B2,3,33,84,1.9693478690460324,0.000254006948322,4096,6.201341511768989e-8,16125543.12808264
A2B2,3,33,84,1.9655022374354305,0.0004427665537223,8192,5.404865157743189e-8,18501849.182441987
