system,order,init,run,is_sim,model_file
MOL_4_1,6,0.01082015,0.00015335,false,MOL_4_1_6.onnx
MOL_4_1,6,0.00640561,0.00014997,true,MOL_4_1_6.sim.onnx
MOL_4_1,7,0.01414824,0.0003399,false,MOL_4_1_7.onnx
MOL_4_1,7,0.00935841,0.00033859,true,MOL_4_1_7.sim.onnx
MOL_4_1,8,0.01927971,0.00073253,false,MOL_4_1_8.onnx
MOL_4_1,8,0.01205562,0.00072922,true,MOL_4_1_8.sim.onnx
MOL_5,3,0.00714601,0.00002206,false,MOL_5_3.onnx
MOL_5,3,0.00440319,0.00002127,true,MOL_5_3.sim.onnx
MOL_5,4,0.00765596,0.00003368,false,MOL_5_4.onnx
MOL_5,4,0.00429519,0.00003255,true,MOL_5_4.sim.onnx
MOL_5,5,0.00870673,0.00006776,false,MOL_5_5.onnx
MOL_5,5,0.00490004,0.0000653,true,MOL_5_5.sim.onnx
MOL_5,6,0.01070138,0.00015654,false,MOL_5_6.onnx
MOL_5,6,0.00624302,0.00015288,true,MOL_5_6.sim.onnx
MOL_5,7,0.01423948,0.00034649,false,MOL_5_7.onnx
MOL_5,7,0.00904685,0.0003448,true,MOL_5_7.sim.onnx
MOL_5,8,0.01911435,0.00074728,false,MOL_5_8.onnx
MOL_5,8,0.01222941,0.00074576,true,MOL_5_8.sim.onnx
